study_id,instance,monomer_a,monomer_b,hb_ratio,hv_ratio,mw,mw_units,mn,mn_units,pdi,shape,shape_grouped,thickness,units_thickness,surface,surface_units,diameter,diameter_units,length,length_units,additive,additive1_name,additive1_percentage,additive1_percentage_units,additive1_use,additive2_name,additive2_percentage,additive2_percentage_units,additive2_use,additive3_name,additive3_percentage,additive3_percentage_units,additive3_use,polymer_percentage,iso,astm,assay,assay_grouped,cell_line,cell_line_grouped,cell_line_type,exposure_type,no_cells_per_well,inoculum_concentration_units,culture_medium,culture_medium_grouped,dilution_medium,dilution_medium_grouped,concentration,concentration_units,dilution,sterilization_method,incubation_time,incubation_time_units,incubation_temperature,incubation_temperature_units,co2_percentage,air,extraction_dynamics,extraction_time,units_extraction_time,extraction_temperature,units_extraction_t,extraction_medium,extraction_medium_grouped,extraction_surface_area_ratio,extraction_surface_area_ratio_units,number_of_cells_well,cell_viability_percentage,toxicity,growth_constant_μ,growth_constant_μ_units,rgr,toxicity_grade,growth_inhibition_percentage
32,42,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,6.0,mg/l,,,24.0,hours,37.0,celsius,,,,,,,,,,,,,102.0,non-toxic,,,,,
32,43,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.0,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,106.140350877192,non-toxic,,,,,
32,44,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.2,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,105.263157894736,non-toxic,,,,,
32,45,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.6,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,104.38596491228,non-toxic,,,,,
32,46,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,1.3,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,107.017543859649,non-toxic,,,,,
32,47,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,3.0,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,105.263157894736,non-toxic,,,,,
32,48,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,6.0,mg/l,,,48.0,hours,37.0,celsius,,,,,,,,,,,,,103.508771929824,non-toxic,,,,,
32,49,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.0,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,102.631578947368,non-toxic,,,,,
32,50,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.2,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,101.754385964912,non-toxic,,,,,
32,51,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.6,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,103.508771929824,non-toxic,,,,,
32,52,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,1.3,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,105.263157894736,non-toxic,,,,,
32,53,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,33.33,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,3.0,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,104.38596491228,non-toxic,,,,,
32,54,3hb,3hv,85.0,15.0,185000.0,g/mol,528571.4285714286,,0.35,nanospheres,particulate,,,,,40.75,nm,,,yes,fa,33.33,%w/w_of_total_dry_mass,functional_or_targeting,peg,33.33,,stabilizer,,0.0,,not_applicable,32.9,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,6.0,mg/l,,,72.0,hours,37.0,celsius,,,,,,,,,,,,,103.508771929824,non-toxic,,,,,
32,55,3hb,3hv,85.0,15.0,185000.0,g/mol,451219.51219512196,,0.41,nanospheres,particulate,,,,,125.89,nm,,,yes,fa,32.9,%w/w_of_total_dry_mass,functional_or_targeting,peg,32.9,,stabilizer,epi,1.32,,active_drug,32.9,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.0,mg/l,,,24.0,hours,37.0,celsius,,,,,,,,,,,,,100.877192982456,non-toxic,,,,,
32,56,3hb,3hv,85.0,15.0,185000.0,g/mol,451219.51219512196,,0.41,nanospheres,particulate,,,,,125.89,nm,,,yes,fa,32.9,%w/w_of_total_dry_mass,functional_or_targeting,peg,32.9,,stabilizer,epi,1.32,,active_drug,32.9,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.2,mg/l,,,24.0,hours,37.0,celsius,,,,,,,,,,,,,80.7017543859649,non-toxic,,,,,
32,57,3hb,3hv,85.0,15.0,185000.0,g/mol,451219.51219512196,,0.41,nanospheres,particulate,,,,,125.89,nm,,,yes,fa,32.9,%w/w_of_total_dry_mass,functional_or_targeting,peg,32.9,,stabilizer,epi,1.32,,active_drug,32.9,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,0.6,mg/l,,,24.0,hours,37.0,celsius,,,,,,,,,,,,,73.6842105263157,toxic,,,,,
32,58,3hb,3hv,85.0,15.0,185000.0,g/mol,451219.51219512196,,0.41,nanospheres,particulate,,,,,125.89,nm,,,yes,fa,32.9,%w/w_of_total_dry_mass,functional_or_targeting,peg,32.9,,stabilizer,epi,1.32,,active_drug,32.9,,,mtt,metabolic_activity,mcf7,epithelial_cancer,human,direct_contact,6000.0,cells/well,dmem_10fbs_pen_strep,dmem,,,1.3,mg/l,,,24.0,hours,37.0,celsius,,,,,,,,,,,,,71.0526315789473,toxic,,,,,
