Study_id,Instance,Monomer_A,Monomer_B,Monomer_C,3HB_ratio,3HV_ratio,4HV_ratio,Mw,Units_Mw,Mn,Units_Mn,PDI,Shape,Diameter,Diameter_Units,Length,Units_Length,Thickness,Units_Thickness,Zeta_Potential,Units_Zeta_Potential,Additive1,Additive1_Name,Additive1_Percentage,Additive1_Use,Additive2_Name,Additive2_Percentage,Additive2_Use,Additive3_Name,Additive3_Percentage,Additive3_Use,Polymer_Percentage,Species_Name,Species_Group,Initial_Organism_Age,Units_Initial_Organism_Age,Initial_Organism_Size,Units_Initial_Organism_Size,Exposure_type,Media_type,Test_location,Tested_Concentration,Units_Tested_Concentration,Observation_Period,Units_Observation_Period,Exposure_Regime,EC_10,EC_10_Units,EC_20,EC_20_Units,EC_50,EC_50_Units,Toxic_Units,LC_50,LC_50_Units,LD_50,LD_50_Units,Mortality_Percentage,Body_Mass_Change_Percentage,Size_Increase,Size_Increase_Units,Number_of_Juveniles,Number_of_Cocoons,SGI_Percentage,Survival_rate_percentage,Normal_Plutei_Percentage,SGR,SGR_Units,WG,WG_Units,Plant_Height,Plant_Height_Units,Shoot_Biomass,Shoot_Biomass_Units,Foliar_C_N_ratio,Plant_Growth,Toxicity_Grade,Toxicity_Classification
8,1,3HB,3HV,,,0.0,0.0,,,,,,Particle,8.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Zea_Mays,Terrestrial_Plant,,,,,Soil,Agricultural_soil,Lab,0.1,g/kg,56.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,62.9,cm,2.51,g/plant,51.6,,1,Moderately_Toxic
8,2,3HB,3HV,,,0.0,0.0,,,,,,Particle,8.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Zea_Mays,Terrestrial_Plant,,,,,Soil,Agricultural_soil,Lab,1.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,49.1,cm,1.78,g/plant,54.0,,1,Moderately_Toxic
8,3,3HB,3HV,,,0.0,0.0,,,,,,Particle,8.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Zea_Mays,Terrestrial_Plant,,,,,Soil,Agricultural_soil,Lab,10.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,24.0,cm,0.7,g/plant,61.9,,2,Toxic
8,4,3HB,3HV,,,0.0,0.0,,,,,,Particle,8.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Zea_Mays,Terrestrial_Plant,,,,,Soil,Agricultural_soil,Lab,100.0,g/kg,56.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,24.3,cm,0.68,g/plant,73.8,,2,Toxic
9,1,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticle,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Danio_Rerio,Aquatic_Organisms,,,,,Waterborne,Egg_water,Lab,6.25,μg/mL,4.0,days,Acute,,,,,,,,,,,,34.6031746031746,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
9,2,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticle,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Danio_Rerio,Aquatic_Organisms,,,,,Waterborne,Egg_water,Lab,12.5,μg/mL,4.0,days,Acute,,,,,,,,,,,,24.4444444444444,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
9,3,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticle,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Danio_Rerio,Aquatic_Organisms,,,,,Waterborne,Egg_water,Lab,25.0,μg/mL,4.0,days,Acute,,,,,,,,,,,,9.84126984126984,,,,,,,,,,,,,,,,,,,0,Non_Toxic
9,4,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticle,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Danio_Rerio,Aquatic_Organisms,,,,,Waterborne,Egg_water,Lab,50.0,μg/mL,4.0,days,Acute,,,,,,,,,,,,15.2380952380952,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
9,5,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticle,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Danio_Rerio,Aquatic_Organisms,,,,,Waterborne,Egg_water,Lab,100.0,μg/mL,4.0,days,Acute,,,,,,,,,,,,35.2380952380952,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
10,1,3HB,,,100.0,0.0,0.0,,,,,,Film,,,,,40.0,μm,,,Yes,PBAT,72.0,Polymer_Matrix,,0.0,not_applicable,,0.0,not_applicable,28.0,Lactuca_Sativa,Terrestrial_Plant,,,,,Mulch_extract,MS_plant_culture_medium_ME,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,mg,,,1,Moderately_Toxic
