Study_id,Instance,Monomer_A,Monomer_B,Monomer_C,3HB_ratio,3HV_ratio,4HV_ratio,Mw,Units_Mw,Mn,Units_Mn,PDI,Shape,Diameter,Diameter_Units,Length,Units_Length,Thickness,Units_Thickness,Zeta_Potential,Units_Zeta_Potential,Additive1,Additive1_Name,Additive1_Percentage,Additive1_Use,Additive2_Name,Additive2_Percentage,Additive2_Use,Additive3_Name,Additive3_Percentage,Additive3_Use,Polymer_Percentage,Species_Name,Species_Group,Initial_Organism_Age,Units_Initial_Organism_Age,Initial_Organism_Size,Units_Initial_Organism_Size,Exposure_type,Media_type,Test_location,Tested_Concentration,Units_Tested_Concentration,Observation_Period,Units_Observation_Period,Exposure_Regime,EC_10,EC_10_Units,EC_20,EC_20_Units,EC_50,EC_50_Units,Toxic_Units,LC_50,LC_50_Units,LD_50,LD_50_Units,Mortality_Percentage,Body_Mass_Change_Percentage,Size_Increase,Size_Increase_Units,Number_of_Juveniles,Number_of_Cocoons,SGI_Percentage,Survival_rate_percentage,Normal_Plutei_Percentage,SGR,SGR_Units,WG,WG_Units,Plant_Height,Plant_Height_Units,Shoot_Biomass,Shoot_Biomass_Units,Foliar_C_N_ratio,Plant_Growth,Toxicity_Grade,Toxicity_Classification
15,1,3HB,,,100.0,0.0,0.0,,,,,,Spherical,63.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lemna_Minor,Aquatic_Organisms,,,,,Waterborne,Steinberg_medium,Lab,10.0,mg/L,7.0,days,Chronic,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,0,Non_Toxic
15,2,3HB,,,100.0,0.0,0.0,,,,,,Spherical,63.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lemna_Minor,Aquatic_Organisms,,,,,Waterborne,Steinberg_medium,Lab,50.0,mg/L,7.0,days,Chronic,,,,,,,,,,,,,,,,,,7.61,,,,,,,,,,,,,0,Non_Toxic
15,3,3HB,,,100.0,0.0,0.0,,,,,,Spherical,63.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lemna_Minor,Aquatic_Organisms,,,,,Waterborne,Steinberg_medium,Lab,100.0,mg/L,7.0,days,Chronic,,,,,,,,,,,,,,,,,,17.69,,,,,,,,,,,,,1,Moderately_Toxic
16,1,3HB,,,100.0,0.0,0.0,,,,,,Spherical,0.64,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Waterborne,Filtered_Seawater,Lab,1.0,mg/L,2.0,days,Acute,,,,,,,,,,,,,,,,,,,,9.59502551020408,,,,,,,,,,,2,Toxic
16,2,3HB,,,100.0,0.0,0.0,,,,,,Spherical,0.64,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Waterborne,Filtered_Seawater,Lab,5.0,mg/L,2.0,days,Acute,,,,,,,,,,,,,,,,,,,,13.2684948979591,,,,,,,,,,,2,Toxic
16,3,3HB,,,100.0,0.0,0.0,,,,,,Spherical,0.64,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Waterborne,Filtered_Seawater,Lab,10.0,mg/L,2.0,days,Acute,,,,,,,,,,,,,,,,,,,,9.59502551020408,,,,,,,,,,,2,Toxic
17,1,3HB,,,100.0,0.0,0.0,,,,,,Film,40.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lactuca_Sativa,Terrestrial_Plant,,Months,,,Soil,Potting_Substrate,Lab,4.5,g/g,35.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79727095516574,mg,,,2,Toxic
17,2,3HB,,,100.0,0.0,0.0,,,,,,Film,40.0,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lycopersicon_Esculentum,Terrestrial_Plant,,Months,,,Soil,Potting_Substrate,Lab,4.5,g/g,49.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9727095516569,mg,,,2,Toxic
18,1,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,75.0,nm,,,,,19.7,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Anabaena_Sp.,Aquatic_Organisms,,,,,Waterborne,Freshwater_simulation,Lab,50.0,mg/L,3.0,days,Acute,,,,,139.0,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
18,2,3HB,,,100.0,0.0,0.0,,,,,,Nanoparticles,75.0,nm,,,,,19.7,mV,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Chlamydomonas_Reinhardtii,Aquatic_Organisms,,,,,Waterborne,Freshwater_simulation,Lab,50.0,mg/L,3.0,days,Acute,,,,,54.6,mg/L,,,,,,,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
